"cell_id","group"
"aaleacji-1","PTS3"
"aaleingi-1","PTS2"
"aalemfoh-1","PTS3"
"aalfghlj-1","PTS2"
"aalfpapi-1","PTS2"
"aalgnkmh-1","PTS3"
"aalgoicl-1","PTS2"
"aalhbeol-1","PTS3"
"aalhbhlb-1","PTS2"
"aalhknge-1","PTS3"
"aalhnbbe-1","PTS2"
"aalihdjj-1","CNT"
"aaljkkad-1","CNT"
"aaljpbgb-1","PTS2"
"aalkcmpf-1","PTS2"
"aalklloe-1","PTS2"
"aalkmepf-1","PTS2"
"aalknmob-1","PTS2"
"aalknmpg-1","PTS2"
"aallbhdm-1","CNT"
"aallmfkh-1","PTS2"
"aallpmmj-1","EC1"
"aalmcajh-1","CNT"
"aalmlckg-1","PTS2"
"aalmnkhm-1","PTS2"
"aalngccf-1","PTS2"
"aalnhiaa-1","PTS2"
"aalnjmga-1","PTS2"
"aalnnnag-1","PTS2"
"aaloclmb-1","PTS2"
"aalogblo-1","PTS2"
"aalpbbkb-1","PTS2"
"aalpfddd-1","MD"
"aamadfbk-1","MD"
"aamadpmd-1","MD"
"aamagbho-1","MD"
"aamaidah-1","MD"
"aamaknpp-1","PTS2"
"aamambnf-1","PTS2"
"aamamipl-1","PTS2"
"aambikpd-1","PTS1"
"aamcagnn-1","DCT2"
"aamcbhma-1","PTS1"
"aamckhgj-1","DCT2"
"aamckonj-1","PTS2"
"aamcngom-1","IntX"
"aamcoogc-1","PTS2"
"aamdpeel-1","PTS2"
"aamechdd-1","PTS2"
"aameeial-1","PTS2"
"aamekhee-1","PTS2"
"aamepenh-1","PTS2"
"aamepfei-1","PTS2"
"aamfdfdo-1","PTS2"
"aamfldjj-1","PTS1"
"aamfnhmg-1","PTS2"
"aamglach-1","PTS2"
"aamgoogh-1","CNT"
"aamhbggc-1","CNT"
"aamhjjhc-1","CNT"
"aamhoifp-1","PTS2"
"aamibijh-1","PTS2"
"aamifgcg-1","PTS2"
"aamigemg-1","PTS2"
"aamikimm-1","PTS2"
"aamikkdl-1","PTS2"
"aamimfml-1","PTS2"
"aamjbhem-1","PTS2"
"aamjcgif-1","PTS2"
"aamkdnng-1","PTS2"
"aamkhieo-1","PTS2"
"aamkjmkg-1","CNT"
"aamlgpak-1","PTS2"
"aamllhbf-1","CNT"
"aamlndio-1","PTS2"
"aammadoa-1","CNT"
"aammfepl-1","EC2"
"aammlnna-1","PTS2"
"aammnhpi-1","PTS2"
"aamnenlb-1","PTS2"
"aamojgjf-1","PTS2"
"aampdapn-1","PTS2"
"aampdipd-1","CNT"
"aampnedn-1","CNT"
"aampolno-1","CNT"
"aanaaboa-1","PTS1"
"aanaffcb-1","PTS1"
"aanahfll-1","PTS1"
