"cell_id","group"
"aamhoifp-1","PTS2"
"aamibijh-1","PTS2"
"aamifgcg-1","PTS2"
"aamigemg-1","PTS2"
"aamikimm-1","PTS2"
"aamikkdl-1","PTS2"
"aamimfml-1","PTS2"
"aamjbhem-1","PTS2"
"aamjcgif-1","PTS2"
"aamkdnng-1","PTS2"
"aamkhieo-1","PTS2"
"aamkjmkg-1","CNT"
"aamlgpak-1","PTS2"
"aamllhbf-1","ICB"
"aamlndio-1","PTS2"
"aammadoa-1","ICB"
"aammfepl-1","EC"
"aammlnna-1","PTS1"
"aammnhpi-1","PTS1"
"aamnenlb-1","PTS1"
"aamojgjf-1","PTS1"
"aampdapn-1","PTS1"
"aampdipd-1","CNT"
"aampnedn-1","CNT"
"aampolno-1","CNT"
"aanaaboa-1","PTS1"
"aanaffcb-1","PTS1"
"aanahfll-1","PTS1"
"aanakmdb-1","PTS1"
"aanapeak-1","PTS1"
"aanbbnpa-1","PTS2"
"aanbdafj-1","EC"
"aanblpei-1","PTS2"
"aanccehm-1","PTS2"
"aancnkoh-1","PTS2"
"aandcjic-1","PTS2"
"aandgdpj-1","PTS2"
"aandilgk-1","PTS2"
"aandpjpm-1","PTS2"
"aanebhnd-1","PTS2"
"aanfcego-1","PTS2"
"aanffhbg-1","PTS2"
"aangbche-1","PTS2"
"aanhfeln-1","PTS1"
"aanhhjbc-1","PTS1"
"aanhhpal-1","PTS1"
"aanhmgll-1","PTS2"
"aanhopfp-1","PTS2"
"aaniiejc-1","PTS2"
"aanioegk-1","PTS2"
"aaniokhe-1","PTS2"
"aankjjda-1","PTS2"
"aankpjcb-1","PTS2"
"aanlahgi-1","PTS1"
"aanlmbmo-1","PTS1"
"aanmhgag-1","DCT1"
"aannlaam-1","PTS2"
"aannledl-1","PTS2"
"aannoffb-1","DCT1"
"aannokgm-1","PTS2"
"aannpjlg-1","DCT2"
"aanpaelm-1","PTS2"
"aaoaamje-1","PTS2"
"aaoacida-1","PTS2"
"aaobfmin-1","PTS2"
"aaobghcd-1","PTS2"
"aaobhonn-1","PTS2"
"aaobjgkl-1","PTS2"
"aaobmclo-1","PTS2"
"aaobpfmb-1","PTS2"
"aaocifog-1","PTS1"
"aaockgki-1","PTS1"
"aaodboab-1","PTS1"
"aaodnbhm-1","PTS1"
"aaoemhbb-1","PTS2"
"aaoengff-1","PTS1"
"aaofbchk-1","PTS2"
"aaoflpom-1","PTS1"
"aaogaiod-1","PTS1"
"aaogkfie-1","PTS1"
"aaohgooa-1","PTS1"
"aaohhdce-1","PTS1"
"aaohlend-1","PTS2"
"aaoiefdo-1","PTS2"
"aaoijbkh-1","PTS1"
"aaokohmg-1","PTS2"
"aaolapgj-1","PTS2"
"aaolfbpn-1","PTS1"
"aaolnfbh-1","PTS1"
"aaomabii-1","PTS1"
"aaomlngf-1","PTS2"
"aaomnalj-1","PTS1"
"aaonbmpp-1","PTS1"
"aaondbee-1","PTS2"
"aaoneocd-1","PTS2"
"aaongjnf-1","PTS2"
"aaonjnpa-1","PTS2"
"aaonlmml-1","DCT1"
"aaonncfh-1","PTS2"
"aaoodbkh-1","PTS2"
"aaookdco-1","PTS2"
"aaoomfjl-1","PTS2"
"aaoopnnj-1","PTS1"
"aaopbhck-1","PTS2"
"aaopckih-1","PTS2"
"aaopgjim-1","PTS2"
"aaopjnah-1","PTS2"
"aaopkmcc-1","ICB"
"aapaedol-1","PTS1"
"aapafipi-1","PTS1"
"aapajjob-1","PTS2"
"aapakcpm-1","PTS1"
"aapbogdd-1","PTS1"
"aapcbfjl-1","ICB"
"aapcbimd-1","CNT"
"aapcljph-1","ICB"
"aapclmne-1","ICB"
"aapebllf-1","PTS1"
"aapekiag-1","PTS2"
"aapendjm-1","PTS2"
"aapfdabc-1","PTS2"
"aapfoani-1","PTS2"
"aapfpdfm-1","PTS2"
"aapghiaf-1","PTS2"
"aapgnbcp-1","EC"
"aaphcahd-1","PTS2"
"aaphijbf-1","PTS2"
"aapiahaf-1","PTS2"
"aapijmpb-1","PTS2"
"aapikiea-1","PTS2"
"aapipank-1","PTS2"
"aapjcoma-1","PTS1"
"aapjgman-1","PTS2"
"aapkhmco-1","PTS2"
"aapljgbm-1","PTS2"
"aaplonbb-1","PTS2"
"aapmafbi-1","PTS2"
"aapmbmmm-1","PTS2"
"aapmiphm-1","PTS2"
"aapmmijo-1","PTS2"
"aapmoobp-1","PTS2"
"aapmopfl-1","PTS2"
"aapnofii-1","PTS2"
"aapocnhp-1","PTS2"
"aappcpfk-1","PTS2"
"aappmjbb-1","PTS2"
"aappncfk-1","PTS2"
"aappnefm-1","PTS2"
"abaaehdf-1","PTS2"
"abaamfee-1","PTS2"
"abaaoabe-1","PTS2"
"abablmom-1","PTS2"
"ababmcme-1","PTS2"
"ababndej-1","PTS2"
"abaccnfk-1","PTS2"
"abaclimc-1","PTS2"
"abacnapi-1","PTS2"
"abadbace-1","PTS2"
"abaddbmg-1","PTS2"
"abaegphl-1","PTS2"
"abaejhgn-1","PTS2"
"abaelipg-1","PTS2"
"abafonea-1","PTS2"
"abafphcc-1","PTS2"
"abageaca-1","PTS2"
"abagpijk-1","PTS2"
"abahlpad-1","PTS1"
"abahnhep-1","PTS2"
"abaiiknd-1","PTS2"
"abainkpc-1","PTS2"
"abajfkek-1","PTS2"
"abajmcbp-1","PTS2"
"abakanja-1","EC"
"abakjnfc-1","PTS2"
"abakkhef-1","PTS2"
"abalcbjn-1","PTS2"
"abaldlep-1","PTS2"
"abalkkok-1","PTS2"
